day;holiday
01-01;New Year's Day
01-02;World Introvert Day
01-03;International Mind-Body Wellness Day
01-04;World Braille Day
01-05;Whipped Cream Day
01-06;Epiphany
01-07;Orthodox Christmas Day
01-08;Earth’s Rotation Day
01-09;International Choreographers Day
01-10;Cut Your Energy Costs Day
01-11;International Parity at Work Day
01-12;Marzipan Day
01-13;Rubber Duck Day
01-14;New Year's Day (Julian calendar)
01-15;Wikipedia Day
01-16;Martin Luther King Jr. Day
01-17;Ditch New Year's Resolutions Day
01-18;Winnie the Pooh Day
01-19;Popcorn Day
01-20;World Bigos Day
01-21;Grandma's Day (Poland)
01-22;Grandpa's Day (Poland)
01-23;Handwriting Day
01-24;Macintosh Computer Day
01-25;Opposite Day
01-26;International Environmental Education Day
01-27;International Holocaust Rememberance Day
01-28;Lego Day
01-29;Puzzle Day
01-30;Croissant Day
01-31;International Zebra Day
02-01;Car Insurance Day
02-02;Groundhog Day
02-03;International Golden Retriever Day
02-04;World Cancer Day
02-05;World Nutella Day
02-06;Bob Marley Day
02-07;Rose Day
02-08;Opera Day
02-09;International Pizza Day
02-10;Teddy Day
02-11;International Day of Women and Girls in Science
02-12;Darwin Day
02-13;World Radio Day
02-14;Valentine's Day
02-15;Singles Awareness Day
02-16;Innovation Day
02-17;National Cat Day (Poland)
02-18;Pluto Day
02-19;Polish Science Day
02-20;World Day of Social Justice
02-21;International Mother Language Day
02-22;World Thinking Day
02-23;Polish Depression Awareness Day
02-24;Twin Peaks Day
02-25;National Chocolate Covered Nut Day
02-26;Dinosaur Day (Poland)
02-27;International Polar Bear Day
02-28;Public Sleeping Day
02-29;Rare Disease Day
03-01;Zero Discrimination Day
03-02;International Rescue Cat Day
03-03;World Wildlife Day
03-04;Global Day of the Engineer
03-05;Day of the European Surveyor and Geoinformation
03-06;European Day of the Righteous
03-07;National Cereal Day
03-08;International Women's Day
03-09;Day of Polish Statistics
03-10;Mario Day
03-11;National No-Code Day
03-12;World Day Against Cyber Censorship
03-13;Workplace Napping Day
03-14;Pi Day
03-15;World Consumer Rights Day
03-16;National Panda Day
03-17;Saint Patrick's Day
03-18;Global Recycling Day
03-19;Kashubian Unity Day
03-20;International Day of Happiness
03-21;International Day of Forests
03-22;World Water Day
03-23;World Meteorogical Day
03-24;World Tuberculosis Day
03-25;Annunciation
03-26;Day of Prayers for Prisoners
03-27;World Theatre Day
03-28;Respect Your Cat Day
03-29;Mermaid Day
03-30;Doctors' Day
03-31;World Backup Day
04-01;April Fools' Day
04-02;World Autism Awareness Day
04-03;Find a Rainbow Day
04-04;International Carrot Day
04-05;Caramel Day
04-06;International Day of Sport for Development and Peace
04-07;World Health Day
04-08;International Roma Day
04-09;Unicorn Day
